Name,Actors,Score,About,Genre,Crew,Image,Voted,Type
 شنای پروانه,"[' امیر آقایی', ' جواد عزتی', ' طناز طباطبایی', ' مه لقا باقری', ' پانته آ بهرام', ' علی شادمان']",0.96,,"['خانوادگی', 'اجتماعی']","[' محمد کارت', ' رسول صدرعاملی', ' حسین امیری دوماری', ' محمد کارت', ' مسعود سخاوت دوست', ' سامان لطفیان']",https://static.cdn.asset.filimo.com/flmt/mov_83512_35001-m.jpg,120165,فیلم
 شور زندگی,"[' داریوش ارجمند', ' فرهاد جم', ' زهرا اویسی', ' رویا خلیلی', ' فخرالدین صدیق شریف', ' آرش تاج تهرانی', ' زهره صفوی', ' سعید ولی زاده', ' محبوبه اخی', ' مهسا عباسی', ' لیلا یاوری']",0.73,,"['خانوادگی', 'اجتماعی']","[' فریال بهزاد', ' غلامرضا آزادی', ' غلامرضا آزادی', ' فرزانه شبانی', ' کامبیز روشن روان']",https://static.cdn.asset.filimo.com/flmt/mov_1781_456-m.jpg,105,فیلم
 مادر,"[' رقیه چهره آزاد', ' محمدعلی کشاورز', ' فریماه فرجامی', ' امین تارخ', ' حمید جبلی', ' اکبر عبدی', ' جمشید هاشم پور']",0.97,پیرزنی که در سرای سالمندان زندگی می کند به خانه برمی گردد تا روزهای پایانی عمرش را در خانه اش و کنار فرزندانش باشد.  حضور مادر در خانه، فرزندان را به دور هم جمع میکند. ولی این حضور فرزندان، درگیری هایی را بین آنها ایجاد میکند...,"['خانوادگی', 'اجتماعی']","[' علی حاتمی', ' مرتضی شایسته', ' محمود کلاری', ' علی حاتمی', ' ارسلان کامکار']",https://static.cdn.asset.filimo.com/flmt/mov_12672_12360-m.jpg,3981,فیلم
 دریاچه ماهی,"[' نادر فلاح', ' ستاره اسکندری', ' لاله اسکندری', ' مجتبی پیرزاده', ' علی دهکردی', ' افشین هاشمی']",0.87,,"['خانوادگی', 'اجتماعی']","[' مریم دوستی', ' سعید سعدی', ' ابراهیم اصغری', ' مهدی محمدی', ' کیان مقدم', ' مرتضی خان محمد']",https://static.cdn.asset.filimo.com/flmt/mov_30234_364-m.jpg,815,فیلم
 اقلیما,"[' حسین یاری', ' پانته آ بهرام', ' احمد مهرانفر', ' هنگامه قاضیانی']",0.81,سارا هنگامی که می شنود همسرش عماد دچار عارضه قلبی شده به شدت آشفته می شود. آشفتگی سارا با پیدا شدن تار مویی در تخت عماد بیشتر می شود. اتفاقات عجیب و غریبی که اطراف سارا اتفاق می افتد اجازه نمی دهد چیزی از آشفتگی سارا حتی بعد از بهبود عماد کم شود.,"['خانوادگی', 'اجتماعی']","[' ناصر عنصری', ' محمدرضا گوهری', ' محمدمهدی عسگرپور', ' مرتضی پورصمدی', ' محمدمهدی عسگرپور']",https://static.cdn.asset.filimo.com/flmt/mov_29_351-m.jpg,1044,فیلم
هم گناه - فصل 1 قسمت 1,"[' پرویز پرستویی', ' هدیه تهرانی', ' محسن کیایی', ' پدرام شریفی', ' مسعود رایگان', ' رویا تیموریان', ' مهدی پاکدل', ' حبیب رضایی', ' شاهرخ فروتنیان', ' افسانه ناصری', ' احسان کرمی', ' روشنک گرامی', ' افسانه چهره آزاد', ' مارال بنی آدم', ' علی باقری', ' سوگل خلیق', ' حسین امیدی', ' شیرین اسماعیلی', ' محمد موحدنیا', ' مرتضی آقاحسینی', ' محمد رسول صفری', ' هنگامه قاضیانی', ' فرانک کلانتر', ' ساقی حاجی پور', ' آیتک جاوید نژاد', ' فروغ قجابگلی']",0.95,در قسمت یک سریال هم گناه (همگناه) فریبرز بطور اتفاقی در یک عملیات پلیس برادر زن قدیمی اش را می بیند که  در کار جعل مدارک است.او به آدمی تبدیل شده که دیگر قابل اطمینان نیست و نمی توان به او اعتماد کرد. شنیدن حرف های پرویز شوک بزرگی به فریبرز وارد می کند تا جایی که ...,"['خانوادگی', 'اجتماعی']","[' مصطفی کیایی', ' محسن کیایی', ' علی کوچکی', ' مصطفی کیایی', ' حسین جلیلی', ' آرمان موسی پور', ' فیلیمو']",https://static.cdn.asset.filimo.com/flmt/mov_28094_1-m.jpg,54351,سریال
کاشوخین,"[' صالح شهبازی', ' علی گراشی', ' مرتضی خانجانی', ' سروش شاکر', ' والریا سوتک', ' فاضل فروتن', ' علی اکبر طاهریان', ' مجید راستی', ' علی کمیلی']",0.86,,"['اکشن', 'هیجان انگیز']","[' کیوان محسنی', ' عطا مجابی', ' پویان صدقی', ' احسان فرنام', ' بامداد افشار']",https://static.cdn.asset.filimo.com/flmt/mov_20295_37542-m.jpg,7705,سریال
 سلام,"[' سجاد اسماعیلی', ' امیرحسین عزیزی', ' ملیحه خوشنام', ' بهناز زحمتکش', ' علی مزیدی']",0.91,,"['خانوادگی', 'اجتماعی']","[' حسین اسدی زاده', ' محمدرضا حاجی غلامی', ' اکرم صادقی', ' سازمان هنری رسانه ای اوج']",https://static.cdn.asset.filimo.com/flmt/mov_24871_1-m.jpg,805,فیلم
 دیشب باباتو دیدم آیدا,"[' سوفی کیانی', ' شراره دولت آبادی', ' شاهرخ فروتنیان', ' طناز طباطبایی', ' خاطره اسدی', ' الهام پاوه نژاد', ' احترام برومند']",0.82,«دیشب باباتو دیدم آیدا» فیلمی با موضوعی اجتماعی از رسول صدرعاملی است. یه اسم، یه قیافه، یه کلمه، یه زن که یه دفعه به شدت پرتاب می شه به درون ذهن آیدا که هفده سال دارد، بارها و بارها آیدا آن را از فکرش خارج می کند؛ اما دوباره زشت تر و بدتر برمی گردد سر جایش و مثل خوره به جان آیدا می افتد، او شخصیتی تاریک و دور و شاید هم نه چندان بد دارد,"['خانوادگی', 'اجتماعی']","[' رسول صدرعاملی', ' علی سرتیپی', ' رسول صدرعاملی', ' کامبوزیا پرتوی', ' رسول صدرعاملی', ' مرجان شیرمحمدی', ' فریبرز لاچینی', ' بهرام بدخشانی']",https://static.cdn.asset.filimo.com/flmt/mov_137_378-m.jpg,936,فیلم
 آبگوشت مکبث,"[' طناز طباطبایی', ' اکبر عبدی', ' رضا کیانیان', ' مهرانه مهین ترابی', ' ثریا قاسمی']",0.69,,"['خانوادگی', 'کمدی']","[' کیومرث پوراحمد', ' داریوش بابائیان', ' کیومرث پوراحمد', ' اصغر عبدالهی', ' فرهاد محمودی', ' فردین خلعتبری']",https://static.cdn.asset.filimo.com/flmt/mov_34089_799-m.jpg,111,فیلم
 ابر و آفتاب,"[' امیر پایور', ' محمدرضا شریفی نیا', ' سوسن آقارجبی']",0.75,کارگردانی که همه  سکانس های فیلمش را در هوای ابری گرفته است، میخواهد سکانس پایانی را در هوای آفتابی بگیرد اما هوای روستای محل فیلمبرداری، همیشه ابری است. در این میان، پیرمرد نقش اول فیلم، به خاطر مریضی همسرش دیگر حاضر نیست منتظر هوای آفتابی بماند و میخواهد به بیمارستان محل بستری همسرش برود ولی ..,"['خانوادگی', 'اجتماعی']","[' محمود کلاری', ' محمود کلاری', ' محمود کلاری', ' حسین علیزاده']",https://static.cdn.asset.filimo.com/flmt/mov_12783_379-m.jpg,69,فیلم
 دختری با کفش های کتانی,"[' پگاه آهنگرانی', ' اکرم محمدی', ' محمود جعفری', ' بهمن زرین پور', ' مهدی میامی', ' مرتضی ضرابی', ' عبدالرضا اکبری', ' محمود عزیزی', ' داریوش مودبیان']",0.84,آیدین و تداعی که در پارک با هم آشنا شده بودند در حین گردش در پارک توسط مأمورین نیروی انتظامی متوقف شده و به کلانتری برده می شوند.,"['خانوادگی', 'اجتماعی']","[' رسول صدرعاملی', ' پیمان قاسم خانی', ' فریدون فرهودی', ' رسول صدرعاملی', ' داریوش عیاری', ' ملک ایرج پناهی']",https://static.cdn.asset.filimo.com/flmt/mov_650_704-m.jpg,1480,فیلم
 خداحافظی طولانی,"[' سعید آقاخانی', ' ساره بیات', ' میترا حجار', ' نقی سیف جمالی', ' علی میلانی', ' ابراهیم اشرفی', ' نادر فلاح']",0.77,این فیلم به کارگردانی فرزاد موتمن داستان مردی است که از اتهام یک قتل جنجالی تبرئه شده است  ولی جامعه و اطرافیانش هنوز به  عنوان مجرم نگاه میکنند .مرد که درگیر یک رابطهٔ عاطفی ست، برای تداوم عشق و زندگی باید بر این بحران غلبه کند....,"['خانوادگی', 'اجتماعی']","[' فرزاد موتمن', ' فرزاد موتمن', ' علی حضرتی', ' اصغر عبداللهی']",https://static.cdn.asset.filimo.com/flmt/mov_8322_23571-m.jpg,2686,فیلم
 ویولن,"[' حسین مهری', ' افسانه فتاحی', ' میرطاهر مظلومی', ' مریم شاه ولی']",0.73,,"['خانوادگی', 'عاشقانه']","[' سید محمدرضا ممتاز', ' داریوش بابائیان']",https://static.cdn.asset.filimo.com/flmt/mov_9660_34217-m.jpg,1300,فیلم
